Dimension,Verbatims
Canales y servicios,Es facil y bien comodo entras y es facil de saber lo que necesitas ejemplo el saldo etc...
Gestion de consultas,Y no le doy un 10 justamente por la disconformidad con el departamento de inversiones porque no me saben responder y solucionar mis problemas
Canales y servicios,Yo siempre hago transferencias cobro ahu mi sueldo y a mu me gusta que se yo las cosas faciles yo entro al homebanking hago las transferencias a otra cuenta que tengo con mi marido asu que esta todo bien.
Disp. automaticos,Porque siempre hay dinero esta disponible
Disp. automaticos,Porque no tengo problemas con los cajeros al retirar plata
Canales y servicios,Hago los tramites debitos por home banking y no tengo problemas  pago las cosas por debitos automaticos  tarjetas todo
Calidad de atencion ,Soy clienta hace muchos aÒos y siempre me ha gustado la atencion  en todo en general en los sectores que uno va en caja en la gente que atiende al p˙blico todo .porque me gusta
Canales y servicios,Es muy comodo me gusta es practico es accesible y algo muy bueno lo que han logrado
Canales y servicios,Es mas facil para encontrar lo que se busca es mas claro
Disp. automaticos,Porque es muy bueno te da detallado lo que quieres ver o sacar por ejemplo la cuenta el dinero que saco cuando solicito un registro del movimiento me lo da.
Canales y servicios,Porque te responden por ahu cuando haces una consulta de forma inmediata no te hacen esperar en el momento te hacen todo te responden lo que necesitas o podes ver deudas los importes.
Productos,Tiene promociones con la tarjeta de credito  descuentos cuarenta por ciento o cincuenta por ciento en electrodomesticos
Disp. automaticos,Nunca tuve problemas una de las cosas siempre tiene plata .
Canales y servicios,Nunca tuve problemas  esta buena porque haces consultas de saldo y pagas la cuenta por la aplicacion cargas credito por ahu
Canales y servicios,La atencion al cliente que sea mas facil para comunicarse hay muchos inconvenientes para comunicarse con ellos hay muchas claves para mu no tanto pero para una persona mayor si
Canales y servicios,En las atenciones telefonicas que sean mas rapidas
Disp. automaticos,Por la seguridad que tienen en los cajeros
Marca,Por la seguridad que tiene en las paginas  no agrega mas
Calidad de atencion ,La atencion al p˙blico en la sucursal generalmente hay muchos clientes y hacen privilegios por los clientes vip
Disp. automaticos,Depende de la sucursal tiene cantidad de cajeros no hay mucha fila para operar con los cajeros
Canales y servicios,Es eficiente segura agil y practica. Intuirle muy amigable la pagina
Disp. automaticos,Yo le veo bien  que tenga mas cajeros automaticos puede mejorar
Canales y servicios,Porque te podes manejar con mas seguridad para hacer las operaciones  por el homebanking se usa menos el banco
Canales y servicios,Me gusta el home banking es agil rapido y facil de usar
Disp. automaticos,Que tenga mas cajeros
Canales y servicios,Me gusta la accesibilidad que tiene no hay que ir hasta la sucursal.
Disp. automaticos,Los cajeros porque a veces no funcionan para realizar depositos de acreditacion inmediata tambien hay cajeros que no te reciben billetes de doscientos o quinientos pesos. Los cajeros muchas veces no tienen dinero hay colas inmensas y no se pueden utilizarla. Con todos los demas tramites no t
Disp. automaticos,Que a veces se puedan realizar depositos de acreditacion inmediata de distintas denominaciones es decir ingresar billetes de doscientos quinientos y mil pesos. Por ahu estan fuera de servicio tambien.
Canales y servicios,Porque el acceso es inmediato y los pagos de impuestos lo podes hacer mediante el home banking es inmediato y muy bueno el sistema haces un deposito y desde el celular podes pagar afip y todo los demas es practico.
Disp. automaticos,Por el lumite de extraccion solo es hasta 10 mil pesos
Canales y servicios,La pagina es como si estuvieras haciendo el tramite en el banco es muy agil la pagina
Disp. automaticos,A veces no tiene dinero o no funciona
Canales y servicios,Es muy practico para mu
Canales y servicios,Yo entro hago transferencias directamente pago la tarjeta ahu entro para ver mis movimientos desde donde estoy y no he tenido problemas . Lo que tiene es que te ahorra el tiempo de hacer cola directamente lo haces y no necesitas ir al banco transacciones pagar cuentas cargar telefono  hacer transferencias
Canales y servicios,Porque tiene acceso a todo  como tu cuentas movimientos todo .
Calidad de atencion ,Por su atencion es muy buena en la sucursal . En todo
Canales y servicios,Porque es clara la expresion el diagrama con el que se manejan para poder hacer tramites me es facil de entender.
Canales y servicios,No tengo ning˙n  tipo de problema en el home banking lo que necesito saber lo encuentro es muy completa la pagina
Calidad de atencion ,Lo recomiendo que yo tuve buena experiencia en pagar mis cuentas en mi caja de ahorro .
Canales y servicios,Lo uso y esta todo bien  cada vez que necesito fijarme algo esta todo bien si tengo que pagar mis cuentas esta todo bien a traves de homebanking
Canales y servicios,Hay muchas cosas que no entendes y entras a mirar y ellos te explican siempre hay alguien que te responde
Canales y servicios,Entro al home banking para ver los movimientos y puedo ver bien
Canales y servicios,Por la facilidad de los paquetes que te ofrecen me gusta la pagina. Lo que si no vi si tienen los poner que se pueden poner en el celular eso esta muy bueno y la chequera electronica que me queda la duda si tienen o no
Canales y servicios,Porque es muy facil el uso o sea cuando entras al men˙ es facil de entender es facil de ubicarse
Canales y servicios,Porque con eso desde mis casas puedo informarme de todo lo que quiero preguntar sin tener que ir al banco puedo consultar sobre mi cuenta sobre sus tarjetas de credito.
Canales y servicios,Porque nunca tuve problemas e ajado cosas y siempre esta al instante las cosas que pague . Cuando estuve inscripta a la afip cuando pagaba todo mi impuesto entraba todo rapido
Canales y servicios,Porque funciona bien esta bien explicado facil ingreso
Canales y servicios,Porque nunca tuve problemas con la pagina no se colgo la pagina nunca la tuve que ingresar de nuevo la contraseÒa para poder ingresar  siempre entraba rapido podua ver todos mis remanes depositos movimientos.
Calidad de atencion ,La atencion porque te tratan bien cuando quieren
Canales y servicios,Es facil de usarlo y rapido
Canales y servicios,Por la disponibilidad la facilidad con la que te contestan por la rapidez en atenderte no te dejan esperando por lo general aca no te dejan colgado en el telefono.
Canales y servicios,Porque me parece bien programada para obtener las respuesta que necesitas y de facil acceso.
Canales y servicios,Todo bien me han respondido en todos los sentidos por consulta de operaciones todo perfecto. Siempre muy buena atencion.
Canales y servicios,Todo me ha salido bien las operaciones no tuve problemas desde mi hogar podes acomodar todo por ejemplo comprar dolare depositos consultas.
Canales y servicios,Por la atencion el personal que tiene es muy amable te detallan todos los detalles de los problemas y dan rapida soluciones y si no pueden resolverlo buscan la manera. Por ejemplo tuve un problema con el usuario del home banking y me comunique con ellos y me dieron un n˙mero de reclamo asu no pe
Canales y servicios,Porque siempre entro facil y los uso de forma simple haciendo clic en las preguntas tengo respuestas en el momento.
Canales y servicios,Porque no te responden ning˙n tipo de inquietud ni consultas
Canales y servicios,Porque es igual un proceso rapida estan las mayoruas de los servicios que haces en el banco es practico
Disp. automaticos,El aspecto de los cajeros automaticos para hacer depositos a veces no funciona y quedan fuera de servicio continuamente.
Disp. automaticos,Que no se queden fuera de servicio. No sabrua cual es problema por el que quedan asu
Canales y servicios,Es interactivo puedo hacer muchas cosas dentro las pagina como pagar cuentas y  transferir dinero desde la pagina tambien puedo recibir mis pagos
Productos,Deba dar promociones y beneficios
Canales y servicios,Es claro y funciona siempre
Canales y servicios,Porque entras enseguida a la pagina  si haces preguntas te contestan enseguida.
Canales y servicios,Por la atencion. Llama y responden todo lo que el necesita
Procesos,El home banking no da los ˙ltimos movientes tiene que ir al banco a buscarlo
Canales y servicios,Siempre hay un margen para mejorar  pero esta bastante bien por ejemplo la comunicacion a traves del home banking y lo claro que es el sistema .
Canales y servicios,Si te digo te miento  no me puse a ver la pagina solo entro al saldo y salgo . Califique con ocho porque lo que yo hago me parece bien como averiguar el saldo hacer alguna transaccion
Canales y servicios,El homebanking en que sabado y domingo uno quiere entrar y dice que la pagina esta en mantenimiento
Layout sucursal,Los sabados y domingos tiene que funcionar normalmente como lunes a viernes
Canales y servicios,Quizas la rapidez de la atencion cuando llamas a veces tarda entre 5 y 10 minutos en atenderte.
Canales y servicios,Porque no funciona siempre bien  cuando tenes un problema con la pagina  y no podes solucionar llamas al banco y no te atiende una persona siempre el contestador el contestador. No se si es que se cae el sistema o que muchas veces no puedo entrar a la pagina no sabrua decirte que es  no se si col
TCR,No entiendo como hacen para retirar dinero del frances con mi clave .
Canales y servicios,Porque no te dan respuestas a los problemas que yo tuve.
Tiempos de espera,Porque el tiempo de espera hacia los clientes por la falta de personal para la atencion al cliente en la sucursal para que el cliente no demore en ser atento si hay 50 clientes no pueden estar funcionando solamente 3 cajas.
Tiempos de espera,Porque tendrua que haber una persona en cada cajero automatico para poder orientarte.
Canales y servicios,Porque hay demasiada contraseÒas para poder entrar a la pagina o activarlas y eso deberua utilizarse de otra forma.
Productos,Porque tiene muchos beneficios como prestamos a veces pides prestamos pero tienen  varios beneficios
Canales y servicios,Tengo una aplicacion donde puedo hacer transacciones cargas de celular  es mas practico que hacer cola en el banco
Disp. automaticos,A veces no hay plata. Pero no es culpa del banco se encuentran en buenas condiciones
Canales y servicios,Buena atencion llame me atendieron bien y me solucionaron problema
Disp. automaticos,Los cajeros siempre estan disponibles el cajero funciona bien
Canales y servicios,Nunca tuve problema enseguida me atienden muy amables no suelo esperar mucho
Canales y servicios,Cuando hablo por telefono son claras las respuestas podes llamar para saber donde vas a ir y ellos te hacen los pasos es bastante facil
Canales y servicios,Resuelve todas las dudas que uno tiene buena atencion me resuelven los problemas salgo conforme
Canales y servicios,Atendieron rapido y solucionaron ene le momento
Canales y servicios,Porque ante cualquier duda o inconveniente te lo resuelven al instante
Calidad de atencion ,La buena predisposicion de solucionarte los problemas que uno puede llegar a tener (sobre el cajero automatico y transacciones)
Calidad de atencion ,Es n banco tiene buena atencion.
Canales y servicios,Porque a veces para no ir hasta el banco llamo por telefono y me atienden enseguida o por telefono lo resuelvo enseguida
Canales y servicios,Por la atencion cordial del operador cuando me atiende. Me dan soluciones para los problemas.
Canales y servicios,Porque siempre me atendieron bien llamo todos los meses y siempre me atienden bien me contestan lo que pregunto y me dan respuestas
Productos,Me fui de viaje a Brasil y supuestamente con mi tarjeta de debito podua sacar plata en cualquier cajero de Brasil y no lo pude hacer y las compras con debitos solo 1 sola vez podua hacer tenuan que esperar al otro dua para volver hacerlo
Canales y servicios,Las opciones son faciles cuando necesitas hacer un tramite o alguna consulta no tenes forma de equivocarte te atienden rapido (calculo 2 o 3 minutos).
Canales y servicios,Siempre solucionan las consultas.
Canales y servicios,Es mucho mas facil el trato la comunicacion es mas rapida te atienden al toque sin problemas.
Canales y servicios,Porque la veces que eh tenido que consultar alg˙n problema siempre  me han dejado satisfecho con las respuesta que me han dado. Y solamente eso porque no soy una persona que me maneja mucho con el banco solo algunas cosas especuficas como esas
Canales y servicios,Porque en los momentos que eh necesitado me han solucionado los problemas (personales) muy buena la atencion
Canales y servicios,Las personas que te atienden te solucionan las cosas rapida buena atencion del que te atiende te explican bien las cosas
Canales y servicios,Porque por ejemplo todas las preguntas son atendidas y las respuestas son favorables uno se comunica y te atienden rapido y eso es importante
Canales y servicios,Por la calidad de atencion y resuelven en el momento. Y las chicas que atienden son muy amables
Canales y servicios,Cuando llamo cuesta comunicarse a veces la atencion no es muy buena al 0800 a veces esperas 30 minutos la ˙ltima vez llame y espere 30 minutos. Ellos una vez me llamaron para decirme que me daban un credito pero cuando yo llame no era cierto me habua pedido mi documento por el tema del credito
Calidad de atencion ,Porque siempre le da buen servicio una buena atencion el trato es buena de parte del personal y del banco
Canales y servicios,Te atienden y te saben ubicar bien te mandan a los sectores recomendados . Tiempo de espera aproximadamente 10 hasta ser atendido
Canales y servicios,Porque siempre tuve buena atencion el call center siempre atentos a lo que necesitaba y siempre me respondieron a lo que necesitaba por ejemplo las dudas sobre los res˙menes y otras cosas.
Canales y servicios,Porque siempre responden a lo que uno necesita sacan las dudas de lo que no se entiende son amables.
Canales y servicios,Porque es buena no tuve problemas con el banco es buena te responden bien las preguntas.
Calidad de atencion ,Por mi experiencia estoy muy satisfecho.
Canales y servicios,Tienen buena atencion al cliente  muy buena gente cuando voy  a llamar o algo y te atienden bien todo a mu en todo momento
Canales y servicios,Porque es rapido  para solucionarte el inconveniente y la duda que tengas.
Canales y servicios,Muy agil. No tiene que moverse de la casa. Lo soluciona desde la casa y hace tramites desde ahu
Canales y servicios,Porque cuando uno tiene la clave telefonica es muy eficiente para cualquier tramite que quiera hacer el problema es que si se te llega a vencer la clava no hay forma de comunicarse con una persona.
Disp. automaticos,Tenemos unas maquinas viejas que no andan
TCR,La atencion de la gente sea mejor un poco mas informacion tampoco es algo que uso siempre la banca telefonica
Procesos,Que me avisen con tiempo los vencimientos que me lleguen las facturas que tengo que pagar antes de vencer.
Tiempos de espera,El servicio de atencion cliente personalizado demoran mucho en la parte de cajas hay pocas cajas.
Disp. automaticos,El tiempo de espera hay muchos que te dejan ahu esperando. Cuando vos llamas te mandan a un sector a otro y ahu tenes que esperar como cinco seis siete minutos pero generalmente tengo esperar por ahu se puede mejorar eso.
Disp. automaticos,Mas cajeros en las sucursales deberuan haber
Canales y servicios,La rapidez cuando uno llama tiene muchas opciones para llegar a la persona y el tema de las claves
Canales y servicios,Es recomendable pero tarda mucho en atender a veces de 5 a 10 minutos espero
Canales y servicios,Deberuan mejorar la atencion al cliente a la resolucion del problema al tiempo en espera quien te deja en el telefono principalmente la atencion telefonica
Canales y servicios,Te dejan en espera mucho tiempo en el telefono llamas te comunicas y lo ˙nico que te dicen que te acerques a la entidad en otras entidades donde soy clienta tambien ellos te resuelven todo por telefono
Canales y servicios,Porque tiene pocas personas y tardan mucho en atender (a veces estas 20 minutos) y a veces no te atienden y se corta la comunicacion.
Gestion de consultas,Porque los carteles rezan que estamos para ayudarte todo mas rapido  tuve muchos problemas mal entendidos con el tema de los  puntos no hay unidad de criterios con la empresa que trae las cosas junto con el banco se contradicen . Muchos problemas me hicieron mas difucil. Te mandan un mail que
Canales y servicios,Son muy amables pero no te resuelven los temas.
Canales y servicios,Que no te atienden nunca y cuando te atienden tenes que esperar mucho tiempo (y a veces estas 20 minutos esperando para que te atienden y directamente cortas porque no te sirve)
Disp. automaticos,Por la espera del cliente la demora en la atencion 1 has de espera  en los cajeros hay una fila de media cuadra
Canales y servicios,Te dan vueltas y vueltas para sacar un codigo hasta ir a la agencia . Uno que es joven entiende eso la gente mayor no
Canales y servicios,No me atendieron inmediatamente me delegaron a otro interno no me atendieron. Eh llamado muchas veces y no me atendio nadie.
Canales y servicios,Son muy lentos. No se lo recomendarua nadie.
Canales y servicios,No me puedo comunicar tengo que ir al banco para poder llamar por telefono para que alguien me atienda y de repente se corta la comunicacion. Si quiero comunicarme con ellos fuera del banco los n˙meros que aparecen en internet o los res˙menes ya sea de la tarjeta o algo no sirven para comunico
Canales y servicios,La atencion no es buena no tienen ganas de trabajar. No te atienden esperan no me solucionan
Disp. automaticos,Porque siempre esta disponible
Calidad de atencion ,Tienen muy buena atencion tanto del personal de informe como los de ventanilla  y hasta hora no tuve problema
Disp. automaticos,Porque nunca tuve problemas porque cada vez que voy hacer tramites o retirar dinero por el cajero no tuve inconveniente
Disp. automaticos,Siempre tiene al plata  la seguridad siempre hay policuas al rededor no estas solo cuando vas a sacar tenes seguridad .
Disp. automaticos,Porque vas podes sacar el dinero que necesite en el cajero te lee la tarjeta no se traba
Disp. automaticos,No se espera es rapido  no hay filas para operar . Funcionan todos  siempre
Disp. automaticos,Porque siempre que cobras esta el cajero puedo sacar la asignacion por mi hija  hacer consulta
Disp. automaticos,Porque nunca tienen faltante de plata siempre funcionan bien los cajeros del Santander
Disp. automaticos,Porque esta siempre a termino el deposito .
Disp. automaticos,Que agreguen mas cajeros para pagar y que sea mas agil y no tener que hacer una cola.
Disp. automaticos,Mejorar los cajeros de los bancos porque a veces no hay plata o hay mucha gente haciendo cola
Disp. automaticos,Que tenga plata dinero los cajeros que sea mas rapido con menos colas
Calidad de atencion ,Tener mas contacto con el cliente.
Calidad de atencion ,Porque es una persona muy amable siempre tiene buena predisposicion para resolver todo lo que le pedimos o solicitamos.
Tiempos de espera,Mas rapidez en las respuestas de las consultas
Calidad de atencion ,Mejorar en su capacidad  en la comunicacion en general en lo demas  no hay temas que no dependan de el las otras cosas que son estructurales del banco
Calidad de atencion ,Por que atienden bien a la gente me atiende bien en todo momento
Gestion de consultas,Siempre me respondio a las necesidades. Siempre me dio una respuesta y por mas que no hay sido la respuesta que yo esperaba yo considero que eso es valioso.
Calidad de atencion ,Tendrua que tener mas acercamiento al cliente cuando necesitamos
Calidad de atencion ,Se preocupa y esta a disposicion de la empresa constantemente por si llegamos a necesitar algo.
Calidad de atencion ,Porque cualquier consulta que realizamos esta dispuesta a dar respuestas
Tiempos de espera,Deberua mejorar el tiempo que hay esperarla cuando estaba atendiendo a otra persona tardaba entre media hora o cuarenta minutos.
Gestion de consultas,La resolucion de los problemas   esto es con respecto al banco estamos esperando respuesta de legales y mes y medio y hasta ahora no responde...el ejecutivo solo nos dice que esta esperando la contestacion del banco para que el nos informe que solucion le damos a esos problemas legales y con re
Calidad de atencion ,Porque todas las gestiones que hice con el salieron todo bien
Calidad de atencion ,Porque la atencion es buena y siempre esta a disipaciones de la empresa cada vez que lo llamo esta disponible
Gestion de consultas,Porque no tengo problema con el es bastante claro todo lo que me explica cuando lo necesitamos
Calidad de atencion ,Porque no lo conozco solo me contacto un par de veces por mail a traves de otra persona quedo en venir a visitarnos a la empresa para ofrecernos productos y nunca vino ni se comunico  nunca mas. Jamas demostro ning˙n tipo de interes con la empresa.
Calidad de atencion ,Por el trato es muy amable en la disponibilidad  que la tenua para atender
Gestion de consultas,Porque la verdad lo que necesite el estuvo cumplio lo que necesitaba pudo resolver todo lo que pedua
Calidad de atencion ,Destaco la predisposicion siempre esta atento a los pequeÒos detalles. La atencion es buena es amable ante cualquier consulta de saldo o chequeras.
Calidad de atencion ,Es amable. Es muy cordial a la hora de ofrecer productos y hablar con los clientes. Es atenta en el trato humano.
Calidad de atencion ,Porque todas las operaciones que hice no tuve problemas con nadie el trato es bueno las veces que ido ha sido bueno
Calidad de atencion ,Porque es muy dispuesto lo usamos poco al banco con el es excelente la relacion. Pero no tengo nada mas que agregar.
Calidad de atencion ,Es una persona amble y aceptable. Esta siempre predispuesto a ayudar. Por cuestiones de consultas de token u otras el siempre esta disponible.
Gestion de consultas,Mejorar en cuanto a la calidad de respuesta que nos brinda porque por ahu nos da respuestas equivocadas y que tengo que averiguar por otro lado.
Calidad de atencion ,Por su disponibilidad para atendernos por su atencion excelente esta siempre disponible y es amable en el trato.
Gestion de consultas,Porque muchas veces no depende de ella la resolucion sino del banco. Ella hizo todo lo posible por solucionar mis inconvenientes que eran con el banco. Por ejemplo me refiero a que cuando me cerraron una cuenta de 30 aÒos de antig¸edad 30617/1 y ella me ayudo par que no me cierren la cuenta. Porque
Gestion de consultas,Las veces que tuvimos problemas lo charlamos y los resuelve sin problemas. Nos resolvio el inconveniente que tuvimos con un debito en la cuenta en una semana.
Gestion de consultas,Hubo consultas puntuales que le hice en alg˙n momento y si bien me respondua no era muy clara en las respuestas. Yo pedua un calculo de una comision y finalmente no me respondio eso. Me daba una respuesta muy generica y yo necesitaba algo puntual.
Canales y servicios,Es simple de usar para hacer cualquier tipo de operacion esta todo bien especificado.
Productos,Por la tasa que era fija y en pesos. No se que mas. Solo por eso me fije solo en eso.
Canales y servicios,La aplicacion es rapida la mayorua de las veces resuelvo rapido las gestiones y puedo manejarlo todo desde ahu y es mas facil.
TCR,Porque en realidad el paquete me habuan ofrecido del programa de tener mas millas y al  final no me lo dieron me salieron que las millas era solo para recomendar a la gente y no por ser recomendado o referido
Canales y servicios,Las veces que entre siempre encontre las opciones que necesitaba por ejemplo pude agendar bien los destinatarios para comprar y vender dolares y pude hacer bien las transferencias.
TCR,Y seg˙n mi reclamo es como que te exigen cosas por ejemplo yo saque un prestamo personal saque una caja de ahorro en pesos la sigo teniendo lo ˙nico que uso la tarjetas de credito lo que te obliga el frances  es gastar 9000 mil pesos por mes me abrieron un pack cuenta  de dolares caja de ahorro en
Canales y servicios,Que deberua ser mas facil el acceso porque me pide el DNI y nombre de usuario. Y algunas veces me olvido y hay que generar una clave nueva en atm. Que fuera ms facil el acceso a traves del mail o del n˙mero de celular. Ademas me paso de no poder pagar la tarjeta de credito por la aplicacion des
Canales y servicios,Faltaruan un par de operaciones para realizar por el celular comparado con el homebanking. Trate de hacer transferencias por la aplicacion y no lo pude hacer.
Canales y servicios,Es agil y me permite mirar lo que necesito.
Gestion de consultas,Hice un deposito  por terminal de autoservicio y me quedo el dinero adentro no se realizo el deposito. Llame hice el reclamo y tardaron mucho en terminar la gestion. Tardaron un par de semanas.
TCR,Y capaz el tema de informarte un poco mejor  es como que cuando yo hago el reclamo tardaron muchusimo de entender tal vez por falta de informacion
Canales y servicios,Las operaciones son rapidas y es muy practica pagar la tarjeta de credito.
Canales y servicios,Cada vez que tuve que hacer una transaccion funciono bien es clara y rapida. Esta es muy simple te va guiando es bastante ˙til.
Canales y servicios,No solo sinceramente funciona muy bien tal vez en algunos momentos se traba pero son excepciones  pero creo que a veces  uno intenta ingresar y colapsa el sistema  pero despues de eso funciona bien es muy completo el servicio
Productos,Me gusta porque la tasa es fija y es accesible al pago. No es un prestamo muy costoso.
Productos,Me gustarua  que den mas financiacion y ver cada cliente  ver caso por caso para la calificacion del prestamo por que yo al pedir dos prestamos y eso me bajo la calificacion seg˙n lo que me dijo la chica me dijo que como que si ya lo pedu de una sola vez me daban mas monto que si lo pedio una sol
Gestion de consultas,Por que no tuve  problema hice un reclamo por visa home me hicieron el reintegro aceptaron la compra   fue perfecto sin ning˙n problema fue todo por escrito  me pudieron hacer el credito
Canales y servicios,Por los servicios la aplicacion funciona y es practica es comoda de ver son claras las cosas es practica para hacer transferencias o plazos fijos.
Canales y servicios,Porque es practica se entiende donde estan las cosas es practica para hacer transacciones. Nada mas.
Canales y servicios,Para controlar los movimientos me parece ˙til y normal osea  en terminos generales funciona bien osea no tuve ning˙n problemas  por el momento  me sirvio
Canales y servicios,Destaco la facilidad para ingresar a la aplicacion. Encuentro rapidamente lo que quiero hacer.
Canales y servicios,Lo use muy pocas veces la vez que lo use fue muy eficaz en los datos que necesitaba es muy simple. Mas que eso no lo use.
Procesos,Deberua tener mas detallado los consumos con las tarjetas y dentro de las tarjetas y poder visualizar cuantas cuotas quedan a pagar de los consumos realizados en cuotas.
Layout sucursal,Extender el horario de atencion telefonica porque cuando llame dar de baja un servicio el horario era hasta las 16 horas.
Gestion de consultas,Porque me lo solucionaron no me habuan hecho un descuento y me lo reintegraron. Solo por eso.
Productos,Porque no tuve problemas en pedirlo en conseguirlo fue todo rapido y bien. Fue instantaneo
Productos,Porque a mi sirvio me dieron  y me ayudaron para saldar cuenta estoy conforme por que justo me quede sin trabajo  me gusto mas rapidez del prestamo
Gestion de consultas,Porque primero porque tuve reiterar el reclamo dijeron que me habuan llamado para solucionarlo y nunca me llamaron y ademas el plazo fue excesivo. Y finalmente no resolvieron nada. Fue por una consulta sobre una promocione que me regalaban millas finalmente me dijeron que yo solicite el producto
Canales y servicios,La considero bastante segura a la aplicacion.
Canales y servicios,La aplicacion es rapida cuando hay wifi.
Canales y servicios,Me parecua accesible y facil. La aplicacion no tiene muchas vueltas.
Canales y servicios,Porque es facil intuitiva y se maneja bastante bien es facil para hacer transacciones plazos fijos.
Canales y servicios,Porque tenes toda la informacion ahu no hace falta que vayas al cajero podes hacer pagos por ahu. Podes ver los movimientos de las tarjetas no hace falta que vayas al banco
Gestion de consultas,Por que me lo resolvieron muy rapido y favorablemente yo compre en Falabella y tenua el 25 por ciento de descuento con la tarjetas y se decua que estarua reflejado en la tarjetas y al final llego la cuota completa  sin el descuento cuando llame me dijeron  que agregara frances go  que serua mejor
Canales y servicios,Se esforzaron en resolverlo y lo resolvieron muy rapido. Me fueron guiando.
Canales y servicios,A veces quiero ver los gastos de las tarjetas y me cuesta no me resulta tan facil como desde la compu.
Canales y servicios,Porque podes saber el saldo consultar podes hacer transferencias creo es bastante dinamico. Nada mas es facil rapido y dinamico.
Productos,Por ejemplo que las cuotas sean fijas.... Por que me dijeron que son variables
Productos,Por la accesibilidad fue muy facil hacerlo se concreto enseguida la aprobacion fue inmediata
Canales y servicios,Por que funciona buen se puede hacer las operaciones desde el celular hacer transferencias compras de moneda extranjera ver los saldos  de tu cuenta esta muy bueno
Canales y servicios,Anda muy bien el sistema es agil y facil de usar no es difucil como por ejemplo transferir o pagar los servicios
Productos,Porque la verdad no es con el  prestamo por que  fue muy rapido  facil y con muy buenas tasas
Canales y servicios,Desde que baje la aplicacion no pude ingresar nunca porque no me deja entrar. Me dice error de usuario o de contraseÒa y cuando la quiero restablecer no me deja hacerlo.
Canales y servicios,Es facil de usar y ademas  es una aplicacion rapida.
Canales y servicios,Por que lo tengo a la mano y por que yo al banco no lo tengo a disposicion  porque uso para pagar es muy bueno el servicio igual lo uso poco solo para consultas y pagos
Canales y servicios,Porque es rapido y practico en el sentido de no tener que ir a la sucursal. puedo realizar sin problemas las operaciones que necesito con el banco
Productos,Porque fue muy agil lo tuve en una semana basicamente eso.
Canales y servicios,Porque registra  muchos movimientos de meses pasados  solo realizo consultas por la aplicacion y encuentro lo que necesito.
Canales y servicios,Porque me parece buena porque veo los movimientos el resumen de cuentas nada mas.
Productos,Porque yo he solicitado prestamo y lo obtuve de manera rapida sin demasiados requisitos.
Canales y servicios,Porque siempre que tuve una duda ellos me lo resolvieron bien es muy practico y me soluciona los problema por telefono sin ir al banco
Canales y servicios,Porque telefonicamente me sabe asesorar y bien
Productos,PORQUE ME OFRECIERON UN BUEN PRESTAMOS  NO TUVE ning˙n PROBLEMA Y DEMORA PARA OBTENERLO
Canales y servicios,Porque sencilla de utilizar siempre funciona nunca se cae. Y es practica es funcional simple de acceder para transferencias o pagos tarjetas por ejemplo.
Tiempos de espera,Porque la atencion es inmediata.
Productos,Porque no he tenido inconvenientes con las tarjeta simplemente por la buena experiencia personal mas que nada con las tarjetas de credito.
Canales y servicios,Me molesta tener una clave telefonica ademas de la clave de cajero y de homebanking resulta tedioso tener tantas claves.
Calidad de atencion ,Porque la atencion es muy buena del ejecutivo de cuentas
Canales y servicios,Porque anda bien funciona bien es practica esta bien diseÒada
Tiempos de espera,Son muy expeditivo el personal cuando voy en la atencion
Productos,Porque tiene buena promociones como las tarjetas como los descuentos
Canales y servicios,Porque me solucionaron el problema con una transferencia me lo solucionaron
Productos,Porque las millas y tengo todo bonificado y no me cobran mantenimiento de cuentas
Canales y servicios,Porque es bastante agil me atienden rapido. Lo ˙nico que recomendarua no tener que usar la clave frances al ya ingresar el n˙mero de DNI.
Canales y servicios,Porque es bastante amigable en la utilizacion. Es mi sencillo utilizarla.
Tiempos de espera,Porque no hay presencia en la atencion a los  clientes vip. Hay demoras en la atencion porque no hay suficiente personal considero yo
Productos,Que cuando realizo alguna extraccion de dolares o en pesos en una sucursal que no es la de origen no cobran el punitorio.
Productos,Que siempre estan ofreciendo creditos y tienen alta tasa de interes. Tengo la tarjeta latam pass y la destaco pero me gustarua tener mas beneficios con las tarjetas en entidades de indumentaria shoppings o turismo.
Canales y servicios,Porque salen ofertas de publicidades de los creditos es sumamente molesto
Canales y servicios,Porque la trabajo permanentemente  y hago todo por ahi y diaria a sido claro y eh podido resolver
Productos,Porque realmente la uso mis mayores viajes lo hice con frances con las tarjetas y tambien tengo prestamos que tengo que terminar es estilo frances que no termino nunca de pagar
Canales y servicios,En un principio me costaba encontrar las cosas si querua ver los res˙menes de las tarjetas no me resultaba tan intuitiva. Ahora ya acostumbre. Puedo encontrar lo que busco y realizar las operaciones que necesito. A veces la pagina se cae y me cuesta entrar.
Layout sucursal,Porque me resulta comoda porque la tengo en el trabajo.
Canales y servicios,Por que me parece facil de usarlo y efectivo y por que hago pagos de tarjetas de cerdito pago los plazos fijos acredito y hago transferencias actualizo el plazo fijo
Productos,Por que en las tarjetas de creditos la veo que es un beneficio importantes en cuantos a los beneficios en interes del banco y con respecto al plazo fijo me parecen muy buen o por las tasas de intereses que nos beneficia a nosotros
Layout sucursal,Porque primero el personal de seguridad que me indica todo lo que tengo que hacer ahora esta divido todo me refiero con el sistema de numeracion me parece mas organizada ahora la sucursal.
Productos,Porque tengo una amplia variedad de productos por ejemplo en cuanto a la cobertura de los seguros.
